"","year","id","go","m","l","k","sic3dig","countyear","va"
"850",80,77445,49746.54296875,26785,23,6570.701171875,352,8,22961.54296875
"851",84,77445,39070.2734375,28039.244140625,20,8191.37841796875,352,8,11031.029296875
"852",86,77445,38287.296875,28552.966796875,21,6955.86962890625,352,8,9734.330078125
"853",81,77445,47676.71875,24433.958984375,23,6022.56689453125,352,8,23242.759765625
"854",83,77445,29377.595703125,23995.236328125,20,9028.802734375,352,8,5382.359375
"855",82,77445,30945.935546875,18885.201171875,24,5563.0732421875,352,8,12060.734375
"856",85,77445,38168.98046875,29551.693359375,20,7409.7529296875,352,8,8617.287109375
"857",84,77949,138226.078125,100956.5703125,41,88345.421875,341,8,37269.5078125
"858",80,77949,70170.9140625,23314,27,36049.6796875,341,8,46856.9140625
"859",81,77949,87451.53125,29060.47265625,29,33045.59375,341,8,58391.05859375
"860",83,77949,133599.078125,67357,35,93800.59375,341,8,66242.078125
"861",82,77949,104254.375,44589.046875,31,42590.2578125,341,8,59665.328125
"862",85,77949,171720.3125,120397.125,48,80302.1328125,341,8,51323.1875
"863",86,77949,177237.65625,171222.84375,71,73140.8984375,341,8,6014.8125
"864",79,77949,26599.287109375,9060.8603515625,17,28859.193359375,341,8,17538.42578125
"865",85,78588,194059.1875,152005.390625,205,129779.8125,321,8,42053.796875
"866",83,78588,112215.53125,64662.65625,137,149810.734375,321,8,47552.875
"867",84,78588,186644.515625,108487.5390625,197,138801.765625,321,8,78156.9765625
"868",79,78588,199100.765625,101181.4375,226,206049,321,8,97919.328125
"869",86,78588,205484.71875,136843.859375,189,120252.75,321,8,68640.859375
"870",82,78588,83746.546875,32742.759765625,110,162050.859375,321,8,51003.7890625
"871",81,78588,201314.625,108728.6796875,188,175420.40625,321,8,92585.9453125
"872",80,78588,184244.265625,77284,201,190033.0625,321,8,106960.265625
"873",85,79659,12256.0478515625,6202.01171875,10,3817.95556640625,381,8,6054.0361328125
"874",86,79659,11161.1923828125,7536.9580078125,11,4423.01806640625,381,8,3624.234375
"875",84,79659,12594.6064453125,5017.66357421875,10,4161.2138671875,381,8,7576.94287109375
"876",81,79659,19782.435546875,15192.298828125,13,3252.5224609375,381,8,4590.13671875
"877",79,79659,22904.373046875,18399.501953125,13,3826.07641601562,381,8,4504.87109375
"878",82,79659,9764.2802734375,7579.0087890625,11,2943.51098632812,381,8,2185.271484375
"879",83,79659,1561.8017578125,603.334411621094,11,4542.52197265625,381,8,958.467346191406
"880",80,79659,28426.55859375,22280,13,3601.40771484375,381,8,6146.55859375
"881",82,80442,14010.3525390625,7120.14794921875,15,2943.5830078125,311,8,6890.20458984375
"882",79,80442,9692.9990234375,6430.71484375,12,4144.95166015625,311,8,3262.2841796875
"883",85,80442,13699.4404296875,8118.94775390625,16,2410.38208007812,311,8,5580.49267578125
"884",84,80442,10937.5673828125,6160.486328125,14,2559.65087890625,311,8,4777.0810546875
"885",80,80442,8474,5423,20,3685.20166015625,311,8,3051
"886",81,80442,11519.0625,5824.5361328125,13,3287.99731445312,311,8,5694.5263671875
"887",83,80442,3934.99243164062,2281.18579101562,13,2711.26586914062,311,8,1653.806640625
"888",86,80442,18131.73828125,9739.046875,23,2206.79272460938,311,8,8392.69140625
"889",83,81171,23088.564453125,5722.8154296875,26,6653.0546875,371,8,17365.75
"890",80,81171,41019.84765625,15903,41,5669.29248046875,371,8,25116.84765625
"891",82,81171,18017.447265625,4772.2265625,32,5342.734375,371,8,13245.220703125
"892",85,81171,21784.046875,11274.6376953125,38,6464.59130859375,371,8,10509.4091796875
"893",84,81171,19355.50390625,7128.56640625,27,7060.0908203125,371,8,12226.9375
"894",81,81171,40189.12109375,20029.69921875,43,5615.6513671875,371,8,20159.421875
"895",86,81171,31341.640625,21100.634765625,41,6802.23828125,371,8,10241.005859375
"896",79,81171,45198.8125,20163.322265625,50,5163.302734375,371,8,25035.490234375
"897",82,81414,44619.03125,7438.65673828125,37,27324.05078125,321,8,37180.375
"898",81,81414,101436.8828125,29113.427734375,96,29412.755859375,321,8,72323.453125
"899",86,81414,159796.703125,59453.15234375,199,27320.65625,321,8,100343.546875
"900",85,81414,123979.59375,50465.62109375,131,24880.181640625,321,8,73513.96875
"901",79,81414,105343.6171875,38115.37109375,94,39534.3125,321,8,67228.25
"902",83,81414,39677.17578125,11266.322265625,49,26162.82421875,321,8,28410.853515625
"903",80,81414,83708.15625,19204,90,31312.544921875,321,8,64504.15625
"904",84,81414,102962.984375,29165.478515625,94,24662.376953125,321,8,73797.5078125
"905",79,81666,45729.5859375,33335.13671875,36,6334.412109375,311,8,12394.44921875
"906",82,81666,42030.81640625,29214.86328125,43,6325.1748046875,311,8,12815.953125
"907",85,81666,35260.96484375,24210.96875,42,5394.82470703125,311,8,11049.99609375
"908",86,81666,37949.2734375,29037.5625,34,4743.15087890625,311,8,8911.7109375
"909",81,81666,47853.4140625,36306.8828125,41,6885.7763671875,311,8,11546.53125
"910",80,81666,41752.63671875,31653,44,5975.62060546875,311,8,10099.63671875
"911",83,81666,54943.1640625,23302.267578125,38,5680.7509765625,311,8,31640.896484375
"912",84,81666,54972.35546875,44070.46484375,31,5909.61083984375,311,8,10901.890625
"913",82,82395,33533.64453125,28354.3125,24,19350.380859375,356,8,5179.33203125
"914",83,82395,32748.9765625,21571.294921875,28,19370.29296875,356,8,11177.681640625
"915",81,82395,26380.138671875,17996.5390625,18,17657.37890625,356,8,8383.599609375
"916",80,82395,27633.28515625,18339,15,18716.76953125,356,8,9294.28515625
"917",85,82395,49415.875,39655.20703125,40,20638.416015625,356,8,9760.66796875
"918",86,82395,58109.89453125,48940.18359375,42,21677.28515625,356,8,9169.7109375
"919",79,82395,29898.77734375,19712.6171875,15,15900.7724609375,356,8,10186.16015625
"920",84,82395,59139.3046875,50873.1953125,37,20835.142578125,356,8,8266.109375
"921",85,83394,17361.99609375,16738.66015625,27,1765.4423828125,311,8,623.3359375
"922",83,83394,10259.1005859375,8251.5283203125,20,2082.86474609375,311,8,2007.572265625
"923",86,83394,13647.87890625,9212.578125,25,1521.28405761719,311,8,4435.30078125
"924",79,83394,11961.1103515625,7873.05517578125,18,2803.12768554688,311,8,4088.05517578125
"925",82,83394,12789.9794921875,8676.1943359375,21,2429.26342773438,311,8,4113.78515625
"926",84,83394,12141.0947265625,10875.341796875,21,1884.03564453125,311,8,1265.7529296875
"927",80,83394,11681.2646484375,6519,20,2425.79809570312,311,8,5162.2646484375
"928",81,83394,11638.3466796875,6320.09814453125,11,2603.13061523438,311,8,5318.24853515625
"929",79,84258,24967.46875,13142.3701171875,22,3992.96655273438,311,8,11825.0986328125
"930",85,84258,13338.794921875,6392.0478515625,18,2759.13256835938,311,8,6946.7470703125
"931",84,84258,16596.072265625,8882.6865234375,18,3041.47631835938,311,8,7713.3857421875
"932",81,84258,15542.5830078125,7093.751953125,21,3965.13818359375,311,8,8448.8310546875
"933",86,84258,20899.501953125,6768.302734375,18,2503.99731445312,311,8,14131.19921875
"934",80,84258,16295.4873046875,7808,22,3989.09252929688,311,8,8487.4873046875
"935",82,84258,19376.541015625,8796.0361328125,33,3700.0517578125,311,8,10580.5048828125
"936",83,84258,20068.05859375,12695.8623046875,19,3354.0107421875,311,8,7372.1962890625
