"","year","sic4dig","id","go","m","l","k","sic3dig","sic2dig","minyear","maxyear","countyear","va","lnvaOl","lnk"
"16",83,3620,81,66760.09375,24315.583984375,32,41514.71484375,362,36,79,86,8,42444.5078125,7.19021701812744,10.6338033676147
"17",81,3320,99,16180.08203125,6528.07373046875,52,5108.64404296875,332,33,79,86,8,9652.0078125,5.22367763519287,8.53868961334229
"18",86,3320,99,7744.919921875,2624.67163085938,25,3584.2490234375,332,33,79,86,8,5120.248046875,5.32208251953125,8.18430423736572
"19",85,3320,99,8282.3564453125,2678.72827148438,36,3812.82397460938,332,33,79,86,8,5603.6279296875,5.04765033721924,8.24612522125244
"20",80,3320,99,13181.1064453125,6077,44,5565.3115234375,332,33,79,86,8,7104.1064453125,5.08423852920532,8.62430858612061
"21",79,3320,99,14724.9462890625,5970.03125,34,6095.806640625,332,33,79,86,8,8754.9150390625,5.55101013183594,8.71535682678223
"22",82,3320,99,12105.234375,4718.78857421875,43,4713.9833984375,332,33,79,86,8,7386.44580078125,5.14620161056519,8.45828819274902
"23",83,3320,99,8985.0859375,3594.533203125,33,4371.591796875,332,33,79,86,8,5390.552734375,5.09589576721191,8.3828821182251
"24",84,3320,99,9441.5380859375,3313.083984375,37,4073.42626953125,332,33,79,86,8,6128.4541015625,5.10977983474731,8.31223964691162
"25",84,3710,117,21776.02734375,9613.095703125,28,8737.6572265625,381,38,79,86,8,12162.931640625,6.07394361495972,9.07539749145508
